class,original_path,generated_path
Clean,C:\Users\raghad\OneDrive\Desktop\Senior_Project\graduation-project\CV\Solar_panel_Images\Clean\Cleaan (1).jpeg,C:\Users\raghad\OneDrive\Desktop\Senior_Project\graduation-project\CV\OUT_AUG\Clean\Cleaan (1).jpeg
Clean,C:\Users\raghad\OneDrive\Desktop\Senior_Project\graduation-project\CV\Solar_panel_Images\Clean\Cleaan (1).jpg,C:\Users\raghad\OneDrive\Desktop\Senior_Project\graduation-project\CV\OUT_AUG\Clean\Cleaan (1).jpg
Clean,C:\Users\raghad\OneDrive\Desktop\Senior_Project\graduation-project\CV\Solar_panel_Images\Clean\Cleaan (1).png,C:\Users\raghad\OneDrive\Desktop\Senior_Project\graduation-project\CV\OUT_AUG\Clean\Cleaan (1).png
Clean,C:\Users\raghad\OneDrive\Desktop\Senior_Project\graduation-project\CV\Solar_panel_Images\Clean\Cleaan (10).jpg,C:\Users\raghad\OneDrive\Desktop\Senior_Project\graduation-project\CV\OUT_AUG\Clean\Cleaan (10).jpg
Clean,C:\Users\raghad\OneDrive\Desktop\Senior_Project\graduation-project\CV\Solar_panel_Images\Clean\Cleaan (100).jpg,C:\Users\raghad\OneDrive\Desktop\Senior_Project\graduation-project\CV\OUT_AUG\Clean\Cleaan (100).jpg
Clean,C:\Users\raghad\OneDrive\Desktop\Senior_Project\graduation-project\CV\Solar_panel_Images\Clean\Cleaan (101).jpg,C:\Users\raghad\OneDrive\Desktop\Senior_Project\graduation-project\CV\OUT_AUG\Clean\Cleaan (101).jpg
Clean,C:\Users\raghad\OneDrive\Desktop\Senior_Project\graduation-project\CV\Solar_panel_Images\Clean\Cleaan (102).jpg,C:\Users\raghad\OneDrive\Desktop\Senior_Project\graduation-project\CV\OUT_AUG\Clean\Cleaan (102).jpg
Clean,C:\Users\raghad\OneDrive\Desktop\Senior_Project\graduation-project\CV\Solar_panel_Images\Clean\Cleaan (103).jpg,C:\Users\raghad\OneDrive\Desktop\Senior_Project\graduation-project\CV\OUT_AUG\Clean\Cleaan (103).jpg
Clean,C:\Users\raghad\OneDrive\Desktop\Senior_Project\graduation-project\CV\Solar_panel_Images\Clean\Cleaan (104).jpg,C:\Users\raghad\OneDrive\Desktop\Senior_Project\graduation-project\CV\OUT_AUG\Clean\Cleaan (104).jpg
Clean,C:\Users\raghad\OneDrive\Desktop\Senior_Project\graduation-project\CV\Solar_panel_Images\Clean\Cleaan (105).jpg,C:\Users\raghad\OneDrive\Desktop\Senior_Project\graduation-project\CV\OUT_AUG\Clean\Cleaan (105).jpg
Clean,C:\Users\raghad\OneDrive\Desktop\Senior_Project\graduation-project\CV\Solar_panel_Images\Clean\Cleaan (106).jpg,C:\Users\raghad\OneDrive\Desktop\Senior_Project\graduation-project\CV\OUT_AUG\Clean\Cleaan (106).jpg
Clean,C:\Users\raghad\OneDrive\Desktop\Senior_Project\graduation-project\CV\Solar_panel_Images\Clean\Cleaan (107).jpg,C:\Users\raghad\OneDrive\Desktop\Senior_Project\graduation-project\CV\OUT_AUG\Clean\Cleaan (107).jpg
Clean,C:\Users\raghad\OneDrive\Desktop\Senior_Project\graduation-project\CV\Solar_panel_Images\Clean\Cleaan (108).jpg,C:\Users\raghad\OneDrive\Desktop\Senior_Project\graduation-project\CV\OUT_AUG\Clean\Cleaan (108).jpg
Clean,C:\Users\raghad\OneDrive\Desktop\Senior_Project\graduation-project\CV\Solar_panel_Images\Clean\Cleaan (109).jpg,C:\Users\raghad\OneDrive\Desktop\Senior_Project\graduation-project\CV\OUT_AUG\Clean\Cleaan (109).jpg
Clean,C:\Users\raghad\OneDrive\Desktop\Senior_Project\graduation-project\CV\Solar_panel_Images\Clean\Cleaan (11).JPG,C:\Users\raghad\OneDrive\Desktop\Senior_Project\graduation-project\CV\OUT_AUG\Clean\Cleaan (11).JPG
Clean,C:\Users\raghad\OneDrive\Desktop\Senior_Project\graduation-project\CV\Solar_panel_Images\Clean\Cleaan (110).jpg,C:\Users\raghad\OneDrive\Desktop\Senior_Project\graduation-project\CV\OUT_AUG\Clean\Cleaan (110).jpg
